region_in_Russian,region_in_English,poverty_level_2022,entrepreneurship_income_2023,social_transfers_income_2023,mean_salary_2022,median_income_2022,Gini_coeff_2022,decile_coeff_2022,GRP_pc_2022,unemployment_2022,men_working_age_total_2022,relative_cost_of_living_2022,men_higher_educ_2020,population_2022,men_share_never_married_2022,men_share_divorced_2022,share_of_ethnic_russians_2024,men_longevity_2022,men_working_age_rural_2022,crimes_per_10_000_residents_2022,border_with_Ukraine,contract_payment_2023,square_km^2,Caucasus,casualties_mid_july_2025
Àëòàéñêèé êðàé,Altai Krai,13.8,7.9,26.7,39270.4,33688.5,0.371,5.7,433803,3.8,603618,0.94,0.205149584,2154932,0.200483076,0.112263151,95.4,64.13,248139,130.8,0,100000,167996,0,2259
Àìóðñêàÿ îáëàñòü,Amur Oblast,11.9,7.3,19.2,65863.9,76489.2,0.401,6.7,794282.4,4.1,233348,1.04,0.234241549,763570,0.250951864,0.1246256,95.2,62.58,74485,161.8,0,200000,361908,0,534
Àðõàíãåëüñêàÿ îáëàñòü áåç àâò. îêðóãà,Arkhangelsk Oblast,9.2,6.4,25.2,64416.6,30493.9,0.366,5.6,722352.8,5.4,284088,1.14,0.223192314,974604,0.249770009,0.114602499,96.3,64.33,62511,119,0,100000,413103,0,1330
Àñòðàõàíñêàÿ îáëàñòü,Astrakhan Oblast,12.5,6.5,23.6,47779.9,26790.4,0.352,5.2,800575.6,7.1,280239,0.93,0.257187896,957772,0.236258483,0.123140785,67.1,66.83,103052,101.9,0,150000,49024,0,1108
Áåëãîðîäñêàÿ îáëàñòü,Belgorod Oblast,6,9.2,20.2,47637.8,29825.3,0.37,5.7,840505.6,3.7,456410,0.86,0.265,1536466,0.228984269,0.128636046,95.3,67.66,160719,71.8,1,100000,27134,0,1213
Áðÿíñêàÿ îáëàñòü,Bryansk Oblast,11.4,8.9,23.9,40804.1,28834.6,0.368,5.6,472755.9,3.2,344015,0.95,0.235545122,1164635,0.241377035,0.132515765,95.9,65.17,112172,90.6,1,200000,34857,0,1235
Âëàäèìèðñêàÿ îáëàñòü,Vladimir Oblast,9.8,5.5,24.7,45676.7,31779.1,0.335,4.7,584074.4,2.6,392503,1.02,0.223847854,1342235,0.235306343,0.131173282,95.8,64.95,92028,91.1,0,100000,29084,0,888
Âîëãîãðàäñêàÿ îáëàñòü,Volgograd Oblast,9.4,6.2,23.4,44241.5,32000.7,0.346,5,486910.5,3.5,758925,0.9,0.238391405,2492808,0.222431362,0.130276128,92.5,68.26,173788,113.2,0,100000,112877,0,2290
Âîëîãîäñêàÿ îáëàñòü,Vologda Oblast,10.5,6.2,25,53580.1,31550.6,0.346,5,900543.6,3.4,328319,1.04,0.213493112,1138424,0.258733651,0.112574331,96.7,65.89,95016,115.4,0,100000,144527,0,1195
Âîðîíåæñêàÿ îáëàñòü,Voronezh Oblast,6.9,6.9,19.4,46276.7,29611.9,0.39,6.3,594183.1,3.5,684494,0.93,0.281013588,2302617,0.238770934,0.13583396,95.7,66.98,218045,102.7,1,120000,52216,0,1374
Åâðåéñêàÿ àâòîíîìíàÿ îáëàñòü,Jewish Autonomous Oblast,18.3,7.9,24.9,56956.8,98786.4,0.329,4.6,546196.2,4.9,45004,1.11,0.187285953,149580,0.25892312,0.124951429,95.7,61.89,14634,155.8,0,,36271,0,115
Çàáàéêàëüñêèé êðàé,Zabaykalsky Krai,15.8,6,22.8,59412.9,60156,0.366,5.6,563667.1,8.7,302839,1.04,0.177907301,1000520,0.24610326,0.104768228,89.2,61.97,93236,155.3,0,150000,431892,0,2031
Èâàíîâñêàÿ îáëàñòü,Ivanovo Oblast,10.2,7.4,22.7,36379.9,32661.8,0.355,5.3,394614.6,3.2,268456,0.98,0.224292015,924114,0.241466903,0.131951454,96,64.75,52336,93.7,0,50000,21437,0,1039
Èðêóòñêàÿ îáëàñòü,Irkutsk Oblast,13.9,7.6,24.3,64634.9,27769.2,0.364,5.5,997313.3,5,676251,0.99,0.231216386,2363447,0.242057802,0.115026089,92.2,63.3,156309,120.8,0,200000,774846,0,2813
Êàáàðäèíî-Áàëêàðñêàÿ Ðåñïóáëèêà,Kabardino-Balkaria,14.8,20.3,19.6,35250.8,19401.1,0.373,5.8,272795.1,10.1,275236,0.9,0.282285413,904338,0.311746707,0.083602804,19.8,71.5,135114,67.9,0,0,12470,1,287
